date,mall_name,region,visitors,sales_clothing,sales_restaurants,sales_cosmetics,sales_electronics
01/01/2007,Mall A,Center,939,92641,70453,40755,29752
01/01/2007,Mall B,North,772,79338,60883,22361,37896
01/01/2007,Mall C,South,1162,111957,37056,48369,17152
03/01/2007,Mall A,Center,1994,67518,66206,30383,38860
03/01/2007,Mall B,North,991,58653,60572,32848,37442
03/01/2007,Mall C,South,1950,63727,76733,36403,21732
04/01/2007,Mall A,Center,1188,45442,10780,10591,31997
04/01/2007,Mall B,North,1900,113201,76222,14345,66048
04/01/2007,Mall C,South,1513,30514,59020,42392,68792
05/01/2007,Mall A,Center,708,23283,61712,22399,42413
05/01/2007,Mall B,North,1310,107279,72530,20540,19261
05/01/2007,Mall C,South,1687,107358,69734,28554,37272
06/01/2007,Mall A,Center,704,30522,49055,43626,43912
06/01/2007,Mall B,North,681,117192,74529,40129,52270
06/01/2007,Mall C,South,731,84016,10013,26763,13348
07/01/2007,Mall A,Center,601,35550,62590,41761,43940
07/01/2007,Mall B,North,1994,30299,72624,47305,20372
07/01/2007,Mall C,South,850,147445,65057,39436,67317
09/01/2007,Mall A,Center,629,67439,10714,22316,18676
09/01/2007,Mall B,North,953,96880,14484,49797,39648
09/01/2007,Mall C,South,1806,74815,27065,21885,57863
10/01/2007,Mall A,Center,1559,112148,74420,33911,67914
10/01/2007,Mall B,North,785,99547,65020,26757,25836
10/01/2007,Mall C,South,815,39746,35397,13873,31940
11/01/2007,Mall A,Center,1472,50759,51487,25889,59229
11/01/2007,Mall B,North,975,123689,69232,27479,11174
11/01/2007,Mall C,South,874,96198,15528,18004,16694
13/01/2007,Mall A,Center,1040,105108,69772,47403,23189
13/01/2007,Mall B,North,1247,133000,67262,9338,34263
13/01/2007,Mall C,South,1140,114187,18999,20557,26076
14/01/2007,Mall A,Center,704,44845,46564,46974,47600
14/01/2007,Mall B,North,690,113055,51395,46850,38775
14/01/2007,Mall C,South,653,127588,49742,43757,50101
15/01/2007,Mall A,Center,710,73577,78595,34911,69185
15/01/2007,Mall B,North,1727,102510,50828,21358,37371
15/01/2007,Mall C,South,602,119757,52017,48325,20012
17/01/2007,Mall A,Center,643,76094,15926,35181,27776
17/01/2007,Mall B,North,593,47235,51928,5751,50086
17/01/2007,Mall C,South,1139,32091,61620,23996,48460
18/01/2007,Mall A,Center,903,83768,59457,22836,36425
18/01/2007,Mall B,North,1711,52195,71428,13053,29657
18/01/2007,Mall C,South,984,117333,70461,41438,28628
19/01/2007,Mall A,Center,1911,43844,27349,14925,51003
19/01/2007,Mall B,North,1693,122671,24460,5303,13391
19/01/2007,Mall C,South,1658,118093,35086,7316,14276
20/01/2007,Mall A,Center,884,83032,55924,38055,36464
20/01/2007,Mall B,North,1662,36400,37986,28827,57461
20/01/2007,Mall C,South,1760,148451,50226,26404,42024
21/01/2007,Mall A,Center,1267,33696,32806,12844,26562
21/01/2007,Mall B,North,1475,59799,69785,34534,33574
21/01/2007,Mall C,South,1463,21541,70717,23124,64181
22/01/2007,Mall A,Center,1714,56924,21135,40658,64038
